video,condition,mean_flow,median_flow,max_flow,sd_flow,mean_p90,median_p90,mean_pxsec,duration_sec
P46_Center_cropped00000674,Center,8.349657884456919,8.648331642150879,15.45961856842041,2.973234566368817,24.186296489397257,24.751447677612305,31.311217066713446,597.6
P47_Center_cropped00000690,Center,7.675334550144596,7.990339040756226,14.62989902496338,3.055880629305181,22.3884264651942,23.001522064208984,28.782504563042234,550.9333333333333
P48_Center_cropped00000947,Center,7.782131393700838,7.992761611938477,15.529561042785645,2.990805920648743,22.7415745139122,23.155850410461426,29.182992726378142,213.33333333333331
P4_Whole_cropped00001592,Whole,8.226231971577516,8.21992540359497,17.34803009033203,2.615702438744445,23.138769971834325,22.24276828765869,30.848369893415683,596.8
P53_Whole_cropped00000671,Whole,7.278676929272397,7.235933780670166,13.04739475250244,2.556141219097299,22.41211162844734,21.473812103271484,27.295038484771485,284.0
P54_Whole_cropped00000710,Whole,7.578113203209641,7.52569055557251,14.958109855651855,2.653858493902134,22.20174302018856,21.49561882019043,28.417924512036155,596.5333333333333
P56_Whole_cropped,Whole,7.735841308435159,7.549139499664307,15.19937515258789,2.35263469117985,21.931456497562714,20.564603805541992,29.009404906631843,598.1333333333333
P57_Whole_cropped00000696,Whole,7.11088916947325,7.082128524780273,14.404549598693848,2.3378168081404334,22.28507586299794,21.79193687438965,26.665834385524686,466.4
P59_Whole_cropped00000666,Whole,8.217422416058097,8.059532165527344,21.6991024017334,2.6861294999716874,23.67011901838462,22.565542221069336,30.815334060217864,194.4
P5_Center_cropped00003249,Center,6.873113972630733,6.94973611831665,14.263442039489746,2.922327528033018,20.74153115342225,21.03853416442871,25.77417739736525,596.5333333333333
P61_Whole_cropped00000313,Whole,7.139942505312692,6.874820947647095,13.922954559326172,2.218938623572207,22.248578392082596,20.58881664276123,26.774784394922595,595.7333333333333
P63_Center_cropped00000294,Center,7.653343222945569,7.9150776863098145,16.569557189941406,3.174001243329208,21.956518085765712,22.87461853027344,28.700037086045885,597.6
P64_Center_cropped00000681,Center,7.437661407467982,7.521934509277344,15.253016471862791,3.1676260091420345,21.25148854086125,21.894418716430664,27.891230278004933,303.7333333333333
P65_Whole_cropped00000728,Whole,6.921727876134453,7.017929553985596,14.815485000610352,2.9123703778221968,20.99525009987345,21.44502830505371,25.956479535504197,597.6
P69_Whole_cropped00001009,Whole,8.176285407745413,7.8762266635894775,14.798036575317385,2.364396860930544,23.323730133048127,21.81501579284668,30.661070279045298,597.3333333333334
P6_Whole_cropped00001816,Whole,6.627482961149501,6.594588279724121,13.955175399780272,2.381583213694334,21.41555088862291,20.4681339263916,24.85306110431063,597.0666666666667
P71_Center_cropped00000440,Center,6.85909478230668,6.947030305862427,14.244192123413086,2.9041937304024805,20.98884013625128,21.704561233520508,25.721605433650048,597.3333333333334
