# Optical Flow Metadata
# video_name: P139_Whole_cropped00000673
# original_resolution: 1344x1314
# resized_resolution: 640x625
# native_fps: 30.0
# sample_fps: 4.0
# step_frames: 8
# -----------------------------------

time_sec,frame_idx,dt_frames,mean_mag,sum_mag,median_mag,p90_mag,max_mag,mean_u,mean_v,mean_mag_px_per_sec
0.26666666666666666,8,8,2.618377923965454,1047351.1875,0.008135437965393066,8.520459175109863,21.468738555908203,1.172751784324646,2.2011806964874268,9.818917214870453
0.5333333333333333,16,8,10.055440902709961,4022176.5,0.8923843502998352,28.695852279663086,53.90547180175781,-8.221884727478027,-2.6274375915527344,37.70790338516235
0.8,24,8,10.046483993530273,4018593.5,1.9851934909820557,27.759885787963867,71.71928405761719,-9.124775886535645,-0.09339872002601624,37.674314975738525
1.0666666666666667,32,8,9.795465469360352,3918186.25,2.571018695831299,30.043493270874023,56.587493896484375,3.1775500774383545,0.6330013871192932,36.73299551010132
1.3333333333333333,40,8,5.757246017456055,2302898.5,1.6762728691101074,16.654932022094727,48.15266036987305,1.0428142547607422,-0.25048455595970154,21.589672565460205
1.6,48,8,7.361929416656494,2944771.75,2.010939121246338,20.166263580322266,107.93682861328125,0.43701720237731934,0.30432119965553284,27.607235312461853
1.8666666666666667,56,8,8.477685928344727,3391074.25,3.884873867034912,23.1021785736084,72.12702178955078,-2.9904680252075195,-2.896099090576172,31.791322231292725
2.1333333333333333,64,8,9.08788013458252,3635152.0,4.636389255523682,26.061359405517578,78.61299133300781,1.1577985286712646,-1.0970826148986816,34.07955050468445
2.4,72,8,13.518248558044434,5407299.5,4.704144477844238,37.87746047973633,81.09323120117188,-12.49272346496582,1.4841175079345703,50.693432092666626
2.6666666666666665,80,8,11.489581108093262,4595832.5,3.9245247840881348,33.52949523925781,70.68334197998047,-7.472393035888672,2.354571580886841,43.08592915534973
2.933333333333333,88,8,12.017254829406738,4806902.0,4.6737518310546875,34.81059265136719,75.89339447021484,-9.372150421142578,0.8778901696205139,45.06470561027527
3.2,96,8,9.9891939163208,3995677.75,3.0846304893493652,34.380455017089844,72.11064147949219,-4.980227470397949,1.6382393836975098,37.459477186203
3.466666666666667,104,8,3.9193387031555176,1567735.5,0.006301905959844589,15.868494987487793,40.46120071411133,-0.5263465642929077,3.522465705871582,14.697520136833191
3.7333333333333334,112,8,10.427916526794434,4171166.75,0.25321751832962036,28.746049880981445,76.83940887451172,9.674236297607422,1.448169231414795,39.104686975479126
4.0,120,8,8.096487998962402,3238595.25,2.99882435798645,23.75328254699707,80.67340850830078,3.2745368480682373,-1.49934720993042,30.36182999610901
4.266666666666667,128,8,7.9114580154418945,3164583.25,4.80633544921875,20.589643478393555,63.94483947753906,-2.4864511489868164,-0.7158856987953186,29.667967557907104
4.533333333333333,136,8,8.276266098022461,3310506.25,5.768482208251953,20.718008041381836,72.4740219116211,0.7168992757797241,0.6325224041938782,31.03599786758423
4.8,144,8,10.417242050170898,4166897.0,1.6771214008331299,34.2680549621582,97.53982543945312,7.969542026519775,0.9898290038108826,39.06465768814087
5.066666666666666,152,8,9.007623672485352,3603049.5,0.23299577832221985,28.165830612182617,51.54792022705078,-5.772198677062988,5.207350730895996,33.77858877182007
5.333333333333333,160,8,8.621988296508789,3448795.25,0.1324405074119568,27.024389266967773,86.90817260742188,5.411881923675537,-5.052867412567139,32.33245611190796
5.6,168,8,8.161199569702148,3264479.75,3.9613895416259766,23.146930694580078,335.08544921875,2.6273193359375,-1.416834831237793,30.604498386383057
5.866666666666666,176,8,7.85369873046875,3141479.5,3.819739580154419,21.371313095092773,141.49197387695312,-2.082988977432251,-1.1261043548583984,29.451370239257812
6.133333333333334,184,8,7.825409412384033,3130163.75,5.270856857299805,20.30465316772461,49.34130096435547,1.6083062887191772,-1.428301215171814,29.345285296440125
6.4,192,8,7.836463928222656,3134585.5,5.2449493408203125,19.528278350830078,221.76605224609375,-1.9309988021850586,1.4365109205245972,29.38673973083496
6.666666666666667,200,8,7.670165538787842,3068066.25,5.518617630004883,19.061567306518555,126.69200134277344,1.8130892515182495,-1.8013012409210205,28.763120770454407
6.933333333333334,208,8,8.904644012451172,3561857.5,6.759692192077637,21.015810012817383,130.1259765625,0.5066328644752502,-1.9087966680526733,33.392415046691895
7.2,216,8,6.499593257904053,2599837.25,3.595607280731201,17.469358444213867,68.12918853759766,-0.38429227471351624,-0.035095762461423874,24.373474717140198
7.466666666666667,224,8,8.359222412109375,3343689.0,4.9333600997924805,23.541296005249023,46.098777770996094,2.5245532989501953,-1.3734509944915771,31.347084045410156
7.733333333333333,232,8,7.603084564208984,3041233.75,5.051796913146973,19.979021072387695,61.68852996826172,-1.4273455142974854,-3.2236862182617188,28.51156711578369
8.0,240,8,11.971855163574219,4788742.0,5.020097255706787,30.763431549072266,67.93899536132812,8.501677513122559,5.487442493438721,44.89445686340332
8.266666666666667,248,8,7.7993927001953125,3119757.0,5.742870330810547,19.650413513183594,48.4349250793457,-2.0375077724456787,0.5750889778137207,29.247722625732422
8.533333333333333,256,8,9.085760116577148,3634304.0,6.132065773010254,21.702281951904297,161.18690490722656,1.4527778625488281,-0.7107839584350586,34.07160043716431
8.8,264,8,6.849142551422119,2739657.0,3.9942874908447266,18.847240447998047,49.028446197509766,-1.9807231426239014,0.43482598662376404,25.684284567832947
9.066666666666666,272,8,5.309153079986572,2123661.25,0.9099861979484558,15.418570518493652,73.9368896484375,1.867855191230774,-0.5262588262557983,19.909324049949646
9.333333333333334,280,8,6.066828727722168,2426731.5,1.094492793083191,17.425966262817383,74.81079864501953,-0.8714197874069214,0.807512104511261,22.75060772895813
9.6,288,8,6.89075231552124,2756301.0,3.2812228202819824,19.486671447753906,63.96072006225586,-2.2036521434783936,-0.5877637267112732,25.84032118320465
9.866666666666667,296,8,8.398781776428223,3359512.75,4.308165073394775,21.423538208007812,83.03754425048828,-0.4941517114639282,0.4597620666027069,31.495431661605835
10.133333333333333,304,8,7.512674808502197,3005070.0,4.073098182678223,20.53615379333496,42.586177825927734,-0.4680026173591614,0.1761048585176468,28.17253053188324
10.4,312,8,8.540528297424316,3416211.5,5.914048671722412,20.959796905517578,67.79290008544922,1.4247065782546997,-0.6833832859992981,32.02698111534119
10.666666666666666,320,8,11.927132606506348,4770853.0,7.824119567871094,35.345252990722656,64.66376495361328,-7.456204891204834,4.702157974243164,44.726747274398804
10.933333333333334,328,8,8.326495170593262,3330598.25,6.376152515411377,20.601619720458984,112.54464721679688,0.6308311820030212,-1.874011754989624,31.22435688972473
11.2,336,8,14.223774909973145,5689510.0,9.130714416503906,35.69020462036133,129.8559112548828,-11.754850387573242,5.273768901824951,53.33915591239929
11.466666666666667,344,8,9.895096778869629,3958038.75,7.164607048034668,23.948932647705078,100.06634521484375,-0.6134149432182312,0.45971250534057617,37.10661292076111
11.733333333333333,352,8,8.33935260772705,3335741.0,5.148953437805176,20.26384162902832,100.32157135009766,-3.108671188354492,-0.8399937748908997,31.27257227897644
12.0,360,8,8.020691871643066,3208276.75,6.022643089294434,19.51877784729004,124.98799896240234,0.5893360376358032,-1.7265470027923584,30.0775945186615
12.266666666666667,368,8,9.121622085571289,3648649.0,6.698463439941406,19.83174705505371,219.17453002929688,0.014271533116698265,-2.447136878967285,34.206082820892334
12.533333333333333,376,8,7.605644226074219,3042257.75,5.690232276916504,19.29947280883789,47.804134368896484,-0.7707245945930481,1.4377152919769287,28.52116584777832
12.8,384,8,8.395772933959961,3358309.0,5.077157974243164,22.12360954284668,122.88015747070312,-0.04765995219349861,0.387153685092926,31.484148502349854
13.066666666666666,392,8,6.613667011260986,2645466.75,3.5756726264953613,17.04937171936035,153.5055389404297,-1.6971710920333862,-1.3655673265457153,24.8012512922287
13.333333333333334,400,8,8.117166519165039,3246866.5,5.692111015319824,20.248849868774414,65.62175750732422,-2.2407853603363037,-1.6227351427078247,30.439374446868896
13.6,408,8,6.683714866638184,2673486.0,4.546606063842773,16.679031372070312,113.08291625976562,-0.6334744691848755,0.8319460153579712,25.06393074989319
13.866666666666667,416,8,10.411906242370605,4164762.5,3.4260740280151367,31.09450912475586,111.35563659667969,-7.57624626159668,2.6257569789886475,39.04464840888977
14.133333333333333,424,8,10.790587425231934,4316235.0,1.2966769933700562,28.68619728088379,66.34541320800781,9.920373916625977,-1.5792968273162842,40.46470284461975
14.4,432,8,8.765327453613281,3506131.0,5.904992580413818,22.320283889770508,50.3567008972168,0.0053323679603636265,0.8439468145370483,32.869977951049805
14.666666666666666,440,8,11.213691711425781,4485476.5,3.1426525115966797,30.62730598449707,60.82864761352539,7.2828826904296875,-6.383383274078369,42.05134391784668
14.933333333333334,448,8,3.1964197158813477,1278567.875,0.11720457673072815,9.476597785949707,106.2928237915039,-2.0108304023742676,1.2613015174865723,11.986573934555054
15.2,456,8,12.533472061157227,5013389.0,4.211844444274902,34.081302642822266,77.56707000732422,11.040727615356445,-1.0979127883911133,47.0005202293396
15.466666666666667,464,8,10.55996036529541,4223984.0,8.315401077270508,26.086740493774414,69.14249420166016,-1.9484683275222778,1.6298350095748901,39.59985136985779
15.733333333333333,472,8,7.97958517074585,3191834.0,4.994318008422852,20.865032196044922,98.8843765258789,-0.6292702555656433,-3.3353025913238525,29.923444390296936
16.0,480,8,7.636157512664795,3054463.0,5.503641128540039,17.75830078125,96.39210510253906,0.6617701649665833,-1.2850598096847534,28.63559067249298
16.266666666666666,488,8,8.773046493530273,3509218.75,8.080024719238281,19.632783889770508,52.481407165527344,-2.4276225566864014,2.0035886764526367,32.898924350738525
16.533333333333335,496,8,6.148956775665283,2459582.75,5.018174171447754,14.749387741088867,46.51851272583008,0.3935910165309906,-1.1992765665054321,23.058587908744812
16.8,504,8,6.728913307189941,2691565.25,3.75419020652771,17.692710876464844,55.854652404785156,3.435509443283081,0.03811243548989296,25.23342490196228
17.066666666666666,512,8,5.579836368560791,2231934.5,1.1577022075653076,15.351776123046875,45.19911575317383,0.6484739780426025,-0.46762725710868835,20.924386382102966
17.333333333333332,520,8,5.272760391235352,2109104.25,0.13732168078422546,16.540367126464844,43.83930969238281,1.450427532196045,-0.6602395176887512,19.77285146713257
17.6,528,8,4.819185733795166,1927674.25,0.09799882024526596,15.283326148986816,56.498287200927734,1.4115582704544067,-0.09515845775604248,18.071946501731873
17.866666666666667,536,8,4.95082950592041,1980331.75,1.3023309707641602,14.684931755065918,37.682064056396484,-0.0069992453791201115,0.35309624671936035,18.565610647201538
18.133333333333333,544,8,7.226279258728027,2890511.75,4.324892997741699,19.480201721191406,50.37285232543945,-0.0931687206029892,-2.1336991786956787,27.098547220230103
18.4,552,8,4.804565906524658,1921826.375,0.1393355131149292,15.0438871383667,26.899456024169922,2.719156503677368,3.051894426345825,18.01712214946747
18.666666666666668,560,8,11.588374137878418,4635349.5,4.303643226623535,35.38185501098633,76.42940521240234,-7.1814374923706055,3.441206455230713,43.45640301704407
