# Optical Flow Metadata
# video_name: TrimP148_ConditionCenter_varjo_capture
# original_resolution: 2880x1360
# resized_resolution: 640x302
# native_fps: 30.0
# sample_fps: 4.0
# step_frames: 8
# pyr_scale: 0.5
# levels: 3
# winsize: 15
# iterations: 3
# poly_n: 5
# poly_sigma: 1.2
# gaussian_flag: False
# -----------------------------------

time_sec,frame_idx,dt_frames,mean_mag,sum_mag,median_mag,p90_mag,max_mag,mean_u,mean_v
0.26666666666666666,8,8,6.809778690338135,1316194.0,4.761387825012207,16.24847412109375,59.131500244140625,-5.158308029174805,3.016098737716675
0.5333333333333333,16,8,7.522542476654053,1453957.0,5.440452575683594,18.019460678100586,54.6908073425293,-5.640553951263428,3.16363787651062
0.8,24,8,6.005313396453857,1160707.0,3.6505050659179688,14.395891189575195,57.74885940551758,4.804696083068848,-2.3134360313415527
1.0666666666666667,32,8,6.2907538414001465,1215876.875,3.849519729614258,15.52466106414795,31.930768966674805,5.097469329833984,-1.1837141513824463
1.3333333333333333,40,8,5.2590436935424805,1016468.0,4.4007487297058105,12.517375946044922,21.006284713745117,4.074170112609863,2.1542744636535645
1.6,48,8,5.257874488830566,1016241.9375,4.538633346557617,12.364755630493164,29.02426528930664,4.056286811828613,2.265333890914917
1.8666666666666667,56,8,5.3402228355407715,1032158.3125,3.2964229583740234,13.726523399353027,30.23630142211914,4.128013610839844,1.8098794221878052
2.1333333333333333,64,8,1.7010506391525269,328779.0625,1.0832351446151733,4.600891590118408,8.57911491394043,1.0034935474395752,0.8177706003189087
2.4,72,8,6.430822372436523,1242949.375,3.9639275074005127,15.649700164794922,27.26877784729004,-5.363384246826172,-1.4417401552200317
2.6666666666666665,80,8,0.9858689308166504,190548.75,0.8103777170181274,2.241452932357788,29.043071746826172,-0.7027928233146667,-0.4077822268009186
2.933333333333333,88,8,5.238445281982422,1012486.6875,3.611921787261963,13.438142776489258,49.295494079589844,4.22612190246582,-0.15938493609428406
3.2,96,8,1.897302269935608,366710.59375,1.1873159408569336,5.057646751403809,14.244619369506836,-0.9272328615188599,-0.8252593278884888
3.466666666666667,104,8,5.726781845092773,1106872.375,5.096689224243164,13.410362243652344,36.81132888793945,-4.620076656341553,-0.4849857687950134
3.7333333333333334,112,8,7.740315914154053,1496048.25,6.622794151306152,17.501262664794922,54.24657440185547,-5.556344509124756,-1.251665711402893
4.0,120,8,3.530390739440918,682353.9375,2.336928367614746,9.992941856384277,38.37939453125,-1.02422297000885,-2.9033267498016357
4.266666666666667,128,8,2.7143681049346924,524633.0625,2.6821703910827637,6.16378927230835,27.14154052734375,-1.447867512702942,2.0409090518951416
4.533333333333333,136,8,2.7139580249786377,524553.8125,2.0197484493255615,6.606103897094727,19.61219024658203,-1.9845114946365356,1.471382975578308
4.8,144,8,1.8135080337524414,350514.84375,0.9709306359291077,5.190189838409424,24.228069305419922,-0.5627026557922363,-0.44719040393829346
5.066666666666666,152,8,1.2041946649551392,232746.75,0.8206871747970581,3.060810089111328,23.2269287109375,0.40261444449424744,-0.6443769931793213
5.333333333333333,160,8,3.932227849960327,760021.0,2.7496440410614014,10.399124145507812,47.205657958984375,1.8248668909072876,-2.0933339595794678
5.6,168,8,3.305936336517334,638971.375,3.101792335510254,8.01392936706543,41.39051055908203,2.2567191123962402,-1.3454686403274536
5.866666666666666,176,8,4.9366912841796875,954163.6875,3.563077449798584,11.86610221862793,20.51154136657715,4.179553985595703,1.175436019897461
6.133333333333334,184,8,4.011523723602295,775347.3125,3.4971275329589844,9.484664916992188,22.613296508789062,3.454005241394043,0.13764438033103943
