time_sec,frame_idx,dt_frames,mean_mag,median_mag,p90_mag,max_mag,mean_u,mean_v
0.23356666666666667,7,7,2.261720657348633,2.5834779739379883,3.674436330795288,5.933149814605713,2.2204349040985107,-0.29508593678474426
0.46713333333333334,14,7,2.7134909629821777,3.0637502670288086,4.431695938110352,7.164794445037842,2.7054193019866943,0.0035072308965027332
0.7007,21,7,3.0342259407043457,3.4101200103759766,4.997424125671387,7.665149688720703,3.021862506866455,0.20257717370986938
0.9342666666666667,28,7,2.648629665374756,2.995492458343506,4.494813919067383,5.936795711517334,2.6100878715515137,0.4073634147644043
1.1678333333333333,35,7,2.0226798057556152,2.2479286193847656,3.7106378078460693,5.705319881439209,1.8697822093963623,0.6906558871269226
1.4014,42,7,1.4072461128234863,1.3072453737258911,2.8718016147613525,4.418326377868652,0.921987771987915,0.9418056607246399
1.6349666666666667,49,7,1.1662020683288574,1.0264105796813965,2.500547170639038,3.679696798324585,0.20315322279930115,0.9179672598838806
1.8685333333333334,56,7,1.205582618713379,1.2316138744354248,2.174647569656372,3.7479567527770996,-1.100347876548767,0.4153532087802887
2.1021,63,7,2.739933729171753,3.381254196166992,3.9897408485412598,5.455057621002197,-2.7313334941864014,-0.029077444225549698
2.3356666666666666,70,7,2.857734203338623,3.5380377769470215,4.214085578918457,5.728794574737549,-2.84411358833313,-0.1436648666858673
2.5692333333333335,77,7,0.8452558517456055,0.7485328912734985,1.9547655582427979,3.1221632957458496,-0.7119500637054443,-0.38131558895111084
2.8028,84,7,1.3132303953170776,0.9286142587661743,3.133181095123291,5.652754306793213,1.1337472200393677,-0.5624891519546509
3.036366666666667,91,7,3.124758720397949,2.626601457595825,7.207049369812012,11.425358772277832,3.0210561752319336,-0.7377501726150513
3.2699333333333334,98,7,5.287195682525635,4.660056114196777,11.83924674987793,19.18590545654297,5.215227127075195,-0.7187932133674622
3.5035000000000003,105,7,6.056665420532227,4.1473612785339355,14.436797142028809,20.24987030029297,5.639125823974609,-0.6327552199363708
3.7370666666666668,112,7,5.146444320678711,5.305960178375244,10.874083518981934,21.47058868408203,1.863901972770691,-0.7300824522972107
3.9706333333333332,119,7,5.248601913452148,3.4095191955566406,12.624144554138184,19.359302520751953,4.214540481567383,-0.96483314037323
4.2042,126,7,5.56193733215332,4.366666793823242,12.837757110595703,21.256933212280273,5.344511985778809,-1.1592867374420166
4.437766666666667,133,7,3.6996946334838867,2.7373476028442383,8.709931373596191,14.02725601196289,3.4853155612945557,-0.9887703061103821
4.671333333333333,140,7,3.0088858604431152,2.187957286834717,7.084226131439209,11.612662315368652,2.6327950954437256,-1.2587761878967285
4.9049000000000005,147,7,2.4773099422454834,1.592908263206482,5.98387336730957,10.890981674194336,1.9858816862106323,-1.2298221588134766
5.138466666666667,154,7,2.2979276180267334,1.3249804973602295,5.678571701049805,11.382370948791504,1.4925415515899658,-1.2226165533065796
5.372033333333333,161,7,2.5269525051116943,1.4458390474319458,6.69732666015625,12.487133026123047,0.8120414614677429,-1.4146326780319214
5.6056,168,7,3.0427417755126953,1.8646328449249268,8.302335739135742,13.946722984313965,0.2505715787410736,-1.7316029071807861
5.839166666666666,175,7,3.4399631023406982,2.295013427734375,9.157879829406738,18.909015655517578,-0.4112902879714966,-1.525232195854187
6.072733333333334,182,7,3.9685113430023193,2.4812517166137695,10.377840042114258,22.722888946533203,-1.2399101257324219,-1.082295298576355
6.3063,189,7,4.247535705566406,2.5819051265716553,11.021201133728027,23.725061416625977,-1.6456924676895142,-1.0999358892440796
6.539866666666667,196,7,4.2527313232421875,2.7340574264526367,10.900355339050293,24.193347930908203,-1.5053212642669678,-0.9150581955909729
6.773433333333333,203,7,4.592800617218018,2.775200843811035,11.939927101135254,26.03363037109375,-1.6152781248092651,-0.987543523311615
7.007000000000001,210,7,5.119426250457764,2.912442922592163,13.412460327148438,25.275545120239258,-1.4838666915893555,-1.220454454421997
7.240566666666667,217,7,5.130743980407715,2.929041862487793,13.60549545288086,26.06944465637207,-1.4751476049423218,-1.0645716190338135
7.4741333333333335,224,7,5.238237380981445,2.8834266662597656,13.962302207946777,25.81437873840332,-1.1810154914855957,-1.1295957565307617
7.7077,231,7,5.235203266143799,2.656167984008789,13.795584678649902,30.934663772583008,-0.6068545579910278,-1.1584362983703613
7.9412666666666665,238,7,5.345415115356445,2.819446086883545,14.347346305847168,29.828794479370117,-0.35134610533714294,-0.8166731595993042
8.174833333333334,245,7,5.490123748779297,2.810800075531006,14.966797828674316,32.62941360473633,0.024793190881609917,-1.1447097063064575
8.4084,252,7,5.833127975463867,3.1421382427215576,15.850425720214844,33.697181701660156,0.11165490746498108,-1.046608567237854
8.641966666666667,259,7,6.213289737701416,3.266818046569824,17.586957931518555,34.26445770263672,0.1056322380900383,-1.200373649597168
8.875533333333333,266,7,6.5710954666137695,3.378096103668213,18.36542510986328,33.3868408203125,0.060993652790784836,-1.6114126443862915
9.1091,273,7,7.051293849945068,3.5385513305664062,19.713645935058594,33.12850570678711,-0.42694011330604553,-1.9755804538726807
9.342666666666666,280,7,7.268128871917725,3.6573362350463867,19.543546676635742,34.319454193115234,-0.5742456912994385,-2.2252984046936035
9.576233333333333,287,7,7.798824787139893,3.775958299636841,20.86094856262207,37.364681243896484,-0.8511370420455933,-3.459406614303589
9.809800000000001,294,7,8.154317855834961,3.9709882736206055,21.81310272216797,39.87527084350586,-0.7512975335121155,-4.004019737243652
10.043366666666667,301,7,8.204299926757812,4.174099445343018,21.926475524902344,38.85508346557617,-0.870459794998169,-3.993079662322998
