# Optical Flow Metadata
# video_name: P1_Center_cropped
# original_resolution: 1344x1314
# resized_resolution: 640x625
# native_fps: 30.0
# sample_fps: 4.0
# step_frames: 8
# pyr_scale: 0.5
# levels: 3
# winsize: 15
# iterations: 3
# poly_n: 5
# poly_sigma: 1.2
# gaussian_flag: False
# -----------------------------------

time_sec,frame_idx,dt_frames,mean_mag,sum_mag,median_mag,p90_mag,max_mag,mean_u,mean_v
0.26666666666666666,8,8,12.337393760681152,4934957.5,0.9946219325065613,35.53081512451172,63.046836853027344,-10.936163902282715,4.346498489379883
0.5333333333333333,16,8,7.562856674194336,3025142.75,4.162420272827148,21.226686477661133,51.581058502197266,0.2442081868648529,1.3777225017547607
0.8,24,8,8.273648262023926,3309459.25,3.00046706199646,21.943809509277344,59.960113525390625,-3.753668785095215,-1.088594913482666
1.0666666666666667,32,8,7.4439873695373535,2977595.0,2.579979419708252,21.21305274963379,52.82356643676758,-2.449333906173706,0.8612871766090393
1.3333333333333333,40,8,5.550396919250488,2220158.75,2.1868221759796143,15.903814315795898,66.30855560302734,-0.6472898125648499,-0.1134825274348259
1.6,48,8,8.042144775390625,3216857.75,4.348238468170166,20.93917465209961,74.69834899902344,2.1937384605407715,-1.5840717554092407
1.8666666666666667,56,8,7.874756336212158,3149902.5,4.921006202697754,19.43975257873535,68.36377716064453,0.49529585242271423,-1.0239605903625488
2.1333333333333333,64,8,11.896925926208496,4758770.5,5.496299743652344,31.62098503112793,66.29916381835938,-8.166078567504883,-4.626115798950195
2.4,72,8,10.95438003540039,4381752.0,6.557369232177734,28.547420501708984,66.7547378540039,-5.787758827209473,5.5487823486328125
2.6666666666666665,80,8,10.40049934387207,4160199.75,4.930220127105713,28.777206420898438,69.41838073730469,-1.3748009204864502,8.402332305908203
2.933333333333333,88,8,8.962976455688477,3585190.5,5.660158157348633,23.411609649658203,55.16806411743164,0.20175781846046448,1.411859393119812
3.2,96,8,7.797849178314209,3119139.75,4.008792877197266,20.835494995117188,93.82504272460938,0.4235265552997589,-0.0611085370182991
3.466666666666667,104,8,7.062427997589111,2824971.25,1.5232415199279785,20.75075912475586,88.60624694824219,-0.29285189509391785,0.11939897388219833
3.7333333333333334,112,8,7.158207416534424,2863283.0,0.008930757641792297,22.522550582885742,56.318389892578125,2.410728931427002,-0.05365423858165741
