# Optical Flow Metadata
# video_name: AreaX_Cropped
# original_resolution: 1274x740
# resized_resolution: 640x371
# native_fps: 60.0
# sample_fps: 4.0
# step_frames: 15
# pyr_scale: 0.5
# levels: 3
# winsize: 15
# iterations: 3
# poly_n: 5
# poly_sigma: 1.2
# gaussian_flag: False
# -----------------------------------

time_sec,frame_idx,dt_frames,mean_mag,sum_mag,median_mag,p90_mag,max_mag,mean_u,mean_v
0.25,15,15,7.288022041320801,1730468.0,0.0023117095697671175,22.550424575805664,62.8916015625,3.052344799041748,-1.9227709770202637
0.5,30,15,4.629005432128906,1099111.0,0.0006788740865886211,16.673364639282227,43.63829040527344,-2.7016165256500244,-0.5666698217391968
0.75,45,15,3.9338040351867676,934042.4375,0.00023783779761288315,16.323850631713867,31.0932559967041,-1.7827081680297852,2.65132999420166
1.0,60,15,6.926568508148193,1644644.375,0.010728899389505386,19.632095336914062,388.8807067871094,0.7022454142570496,1.2324458360671997
1.25,75,15,5.35880708694458,1272395.125,0.15179938077926636,15.195608139038086,83.14849853515625,0.6222897171974182,-0.7526177763938904
1.5,90,15,4.8539862632751465,1152530.5,0.5091061592102051,15.64591121673584,51.63135528564453,2.631638765335083,2.1316328048706055
1.75,105,15,2.8058950901031494,666231.75,0.1197270005941391,9.229482650756836,43.937774658203125,1.0971728563308716,-0.6446484923362732
2.0,120,15,3.8043975830078125,903316.1875,0.0029010926373302937,12.490806579589844,68.990966796875,-2.4150688648223877,-0.7510588765144348
2.25,135,15,4.9948835372924805,1185985.125,0.0002924225991591811,15.920894622802734,233.24583435058594,1.451388955116272,-2.176680564880371
2.5,150,15,2.7811319828033447,660352.0,4.984842234989628e-05,9.668646812438965,231.5214080810547,-1.045257568359375,-0.013508428819477558
2.75,165,15,2.4905893802642822,591365.5625,1.6196474462049082e-05,9.104179382324219,104.01681518554688,0.34724095463752747,-1.0010744333267212
3.0,180,15,2.3007454872131348,546289.0,1.7321257473668084e-05,5.154959678649902,117.53889465332031,1.5383262634277344,-0.22792567312717438
3.25,195,15,2.0472521781921387,486099.53125,1.3522309927793685e-05,7.19753360748291,39.263397216796875,1.0549659729003906,-0.08276273310184479
